task_type,variant_type,baseline_prompt,compare_prompt,pooling,layer,n_examples,mean_cosine_similarity,mean_cosine_distance
clean_mediation,randomized_design,direct,confounding_aware,final_token,1,1,0.9984884858131409,0.0015115141868591309
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,1,1,0.9986492395401001,0.0013507604598999023
confounding,original,direct,confounding_aware,final_token,1,12,0.998682051897049,0.0013179481029510498
mechanistic_distractor,original,direct,confounding_aware,final_token,1,12,0.9986186921596527,0.00138130784034729
selection_bias,original,direct,confounding_aware,final_token,1,12,0.9985222319761912,0.0014777680238087971
clean_mediation,confounder_removed,direct,confounding_aware,final_token,2,1,0.9822661280632019,0.017733871936798096
clean_mediation,mediator_removed,direct,confounding_aware,final_token,2,1,0.9823081493377686,0.017691850662231445
clean_mediation,original,direct,confounding_aware,final_token,2,12,0.98141943415006,0.018580565849939983
clean_mediation,randomized_design,direct,confounding_aware,final_token,2,1,0.981477677822113,0.018522322177886963
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,2,1,0.9825525879859924,0.01744741201400757
confounding,original,direct,confounding_aware,final_token,2,12,0.9803431431452433,0.019656856854756672
mechanistic_distractor,original,direct,confounding_aware,final_token,2,12,0.9807483951250712,0.01925160487492879
selection_bias,original,direct,confounding_aware,final_token,2,12,0.9798501829306284,0.02014981706937154
clean_mediation,confounder_removed,direct,confounding_aware,final_token,3,1,0.9625834822654724,0.03741651773452759
clean_mediation,mediator_removed,direct,confounding_aware,final_token,3,1,0.962314784526825,0.03768521547317505
clean_mediation,original,direct,confounding_aware,final_token,3,12,0.9625784953435262,0.03742150465647379
clean_mediation,randomized_design,direct,confounding_aware,final_token,3,1,0.9611626267433167,0.03883737325668335
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,3,1,0.9602009057998657,0.03979909420013428
confounding,original,direct,confounding_aware,final_token,3,12,0.9618294636408488,0.03817053635915121
mechanistic_distractor,original,direct,confounding_aware,final_token,3,12,0.9597698400417963,0.040230159958203636
selection_bias,original,direct,confounding_aware,final_token,3,12,0.960407093167305,0.03959290683269501
clean_mediation,confounder_removed,direct,confounding_aware,final_token,4,1,0.9556686878204346,0.04433131217956543
clean_mediation,mediator_removed,direct,confounding_aware,final_token,4,1,0.9558879137039185,0.04411208629608154
clean_mediation,original,direct,confounding_aware,final_token,4,12,0.9574257979790369,0.042574202020963035
clean_mediation,randomized_design,direct,confounding_aware,final_token,4,1,0.9553495645523071,0.04465043544769287
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,4,1,0.9568647742271423,0.043135225772857666
confounding,original,direct,confounding_aware,final_token,4,12,0.9549034237861633,0.04509657621383667
mechanistic_distractor,original,direct,confounding_aware,final_token,4,12,0.9570673654476801,0.04293263455231985
selection_bias,original,direct,confounding_aware,final_token,4,12,0.9574404756228129,0.042559524377187095
clean_mediation,confounder_removed,direct,confounding_aware,final_token,5,1,0.9633590579032898,0.036640942096710205
clean_mediation,mediator_removed,direct,confounding_aware,final_token,5,1,0.9635348320007324,0.03646516799926758
clean_mediation,original,direct,confounding_aware,final_token,5,12,0.9634900142749151,0.03650998572508494
clean_mediation,randomized_design,direct,confounding_aware,final_token,5,1,0.9634465575218201,0.03655344247817993
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,5,1,0.9648258090019226,0.03517419099807739
confounding,original,direct,confounding_aware,final_token,5,12,0.9618281026681265,0.038171897331873574
mechanistic_distractor,original,direct,confounding_aware,final_token,5,12,0.9639777292807897,0.036022270719210304
selection_bias,original,direct,confounding_aware,final_token,5,12,0.9645159045855204,0.035484095414479576
clean_mediation,confounder_removed,direct,confounding_aware,final_token,6,1,0.972493052482605,0.02750694751739502
clean_mediation,mediator_removed,direct,confounding_aware,final_token,6,1,0.9725618958473206,0.027438104152679443
clean_mediation,original,direct,confounding_aware,final_token,6,12,0.9706108868122101,0.029389113187789917
clean_mediation,randomized_design,direct,confounding_aware,final_token,6,1,0.9717298746109009,0.02827012538909912
clean_mediation,selection_bias_added,direct,confounding_aware,final_token,6,1,0.9727118015289307,0.027288198471069336
confounding,original,direct,confounding_aware,final_token,6,12,0.9690290639797846,0.03097093602021535
mechanistic_distractor,original,direct,confounding_aware,final_token,6,12,0.9719995905955633,0.02800040940443675
selection_bias,original,direct,confounding_aware,final_token,6,12,0.9716198345025381,0.028380165497461956
clean_mediation,confounder_removed,direct,mechanistic,final_token,0,1,1.0,0.0
clean_mediation,mediator_removed,direct,mechanistic,final_token,0,1,1.0,0.0
clean_mediation,original,direct,mechanistic,final_token,0,12,1.0,0.0
clean_mediation,randomized_design,direct,mechanistic,final_token,0,1,1.0,0.0
clean_mediation,selection_bias_added,direct,mechanistic,final_token,0,1,1.0,0.0
confounding,original,direct,mechanistic,final_token,0,12,1.0,0.0
mechanistic_distractor,original,direct,mechanistic,final_token,0,12,1.0,0.0
selection_bias,original,direct,mechanistic,final_token,0,12,1.0,0.0
clean_mediation,confounder_removed,direct,mechanistic,final_token,1,1,0.997789740562439,0.002210259437561035
clean_mediation,mediator_removed,direct,mechanistic,final_token,1,1,0.9977742433547974,0.0022257566452026367
clean_mediation,original,direct,mechanistic,final_token,1,12,0.9979748725891113,0.002025127410888672
clean_mediation,randomized_design,direct,mechanistic,final_token,1,1,0.9977593421936035,0.0022406578063964844
clean_mediation,selection_bias_added,direct,mechanistic,final_token,1,1,0.998235285282135,0.0017647147178649902
confounding,original,direct,mechanistic,final_token,1,12,0.9980530242125193,0.0019469757874806721
mechanistic_distractor,original,direct,mechanistic,final_token,1,12,0.9981865932544073,0.0018134067455927532
selection_bias,original,direct,mechanistic,final_token,1,12,0.9977082957824072,0.002291704217592875
clean_mediation,confounder_removed,direct,mechanistic,final_token,2,1,0.9823139905929565,0.017686009407043457
clean_mediation,mediator_removed,direct,mechanistic,final_token,2,1,0.98223477602005,0.01776522397994995
clean_mediation,original,direct,mechanistic,final_token,2,12,0.981182262301445,0.018817737698554993
clean_mediation,randomized_design,direct,mechanistic,final_token,2,1,0.9818480014801025,0.01815199851989746
clean_mediation,selection_bias_added,direct,mechanistic,final_token,2,1,0.9840521216392517,0.01594787836074829
confounding,original,direct,mechanistic,final_token,2,12,0.9806108971436819,0.019389102856318157
mechanistic_distractor,original,direct,mechanistic,final_token,2,12,0.9824228137731552,0.017577186226844788
selection_bias,original,direct,mechanistic,final_token,2,12,0.9800160725911459,0.019983927408854168
clean_mediation,confounder_removed,direct,mechanistic,final_token,3,1,0.9647088646888733,0.03529113531112671
clean_mediation,mediator_removed,direct,mechanistic,final_token,3,1,0.964780330657959,0.035219669342041016
clean_mediation,original,direct,mechanistic,final_token,3,12,0.9648018032312393,0.03519819676876068
clean_mediation,randomized_design,direct,mechanistic,final_token,3,1,0.9641027450561523,0.035897254943847656
clean_mediation,selection_bias_added,direct,mechanistic,final_token,3,1,0.9643802642822266,0.03561973571777344
confounding,original,direct,mechanistic,final_token,3,12,0.9646899203459421,0.03531007965405782
mechanistic_distractor,original,direct,mechanistic,final_token,3,12,0.9638213912645975,0.03617860873540243
selection_bias,original,direct,mechanistic,final_token,3,12,0.9623239586750666,0.03767604132493337
clean_mediation,confounder_removed,direct,mechanistic,final_token,4,1,0.936518132686615,0.06348186731338501
clean_mediation,mediator_removed,direct,mechanistic,final_token,4,1,0.9388375282287598,0.061162471771240234
clean_mediation,original,direct,mechanistic,final_token,4,12,0.9420818338791529,0.05791816612084707
clean_mediation,randomized_design,direct,mechanistic,final_token,4,1,0.9375638365745544,0.06243616342544556
clean_mediation,selection_bias_added,direct,mechanistic,final_token,4,1,0.9423470497131348,0.057652950286865234
confounding,original,direct,mechanistic,final_token,4,12,0.9344546049833298,0.06554539501667023
mechanistic_distractor,original,direct,mechanistic,final_token,4,12,0.9438553154468536,0.05614468455314636
selection_bias,original,direct,mechanistic,final_token,4,12,0.9375152587890625,0.0624847412109375
clean_mediation,confounder_removed,direct,mechanistic,final_token,5,1,0.9517822861671448,0.048217713832855225
clean_mediation,mediator_removed,direct,mechanistic,final_token,5,1,0.954748809337616,0.04525119066238403
clean_mediation,original,direct,mechanistic,final_token,5,12,0.9571130822102228,0.04288691778977712
clean_mediation,randomized_design,direct,mechanistic,final_token,5,1,0.953367292881012,0.04663270711898804
clean_mediation,selection_bias_added,direct,mechanistic,final_token,5,1,0.9576188325881958,0.0423811674118042
confounding,original,direct,mechanistic,final_token,5,12,0.9524044493834177,0.04759555061658224
mechanistic_distractor,original,direct,mechanistic,final_token,5,12,0.9579478154579798,0.042052184542020164
selection_bias,original,direct,mechanistic,final_token,5,12,0.9536934445301691,0.04630655546983083
clean_mediation,confounder_removed,direct,mechanistic,final_token,6,1,0.968156099319458,0.03184390068054199
clean_mediation,mediator_removed,direct,mechanistic,final_token,6,1,0.9694022536277771,0.0305977463722229
clean_mediation,original,direct,mechanistic,final_token,6,12,0.9682296961545944,0.03177030384540558
clean_mediation,randomized_design,direct,mechanistic,final_token,6,1,0.9682550430297852,0.031744956970214844
clean_mediation,selection_bias_added,direct,mechanistic,final_token,6,1,0.9713870882987976,0.028612911701202393
confounding,original,direct,mechanistic,final_token,6,12,0.9645368854204813,0.03546311457951864
mechanistic_distractor,original,direct,mechanistic,final_token,6,12,0.9693548878033956,0.030645112196604412
selection_bias,original,direct,mechanistic,final_token,6,12,0.9677728017171224,0.0322271982828776
